Entry,Chamfer (A),Fraction outside,Coverage,Centroid sep. (A),Mirrored
SASDX64,2.597,0.014,0.465,1.775,False
SASDV74,2.691,0.075,0.339,2.081,False
SASDX74,2.732,0.029,0.386,1.358,False
SASDV62,2.824,0.112,0.621,0.832,True
SASDWG8,2.87,0.052,0.473,2.288,True
SASDV64,2.913,0.041,0.536,0.651,True
SASDTS8,3.023,0.241,0.42,0.26,False
SASDXJ4,3.087,0.467,0.731,1.109,True
SASDWN5,3.156,0.165,0.663,7.543,False
SASDVR6,3.453,0.121,0.757,1.351,False
SASDWT6,3.505,0.135,0.606,3.243,True
SASDWP5,3.555,0.122,0.651,7.645,False
SASDUD6,3.636,0.121,0.764,1.831,False
SASDWS6,3.834,0.102,0.619,3.36,False
SASDVJ8,3.869,0.142,0.626,5.598,True
SASDV33,4.034,0.216,0.618,10.579,False
SASDVG6,4.055,0.09,0.84,2.087,False
SASDXB2,4.174,0.017,0.437,3.347,True
SASDVT5,4.206,0.261,0.467,4.17,False
SASDUZ5,4.215,0.079,0.781,3.593,True
SASDXF6,4.312,0.193,0.517,1.043,False
SASDX24,4.329,0.023,0.72,1.612,True
SASDVK8,4.473,0.048,0.574,3.298,True
SASDUX5,4.532,0.103,0.866,4.676,False
SASDV95,4.778,0.021,0.354,5.445,True
SASDXS4,4.851,0.041,0.322,2.153,True
SASDUU3,4.988,0.01,0.725,2.836,True
SASDV85,5.101,0.042,0.36,4.647,True
SASDV75,5.11,0.033,0.363,4.205,True
SASDUW5,5.208,0.16,0.819,1.239,False
SASDXF5,5.432,0.098,0.539,11.687,True
SASDXB7,5.518,0.124,0.181,4.053,True
SASDUR8,5.567,0.196,0.53,11.98,False
SASDUQ8,5.965,0.224,0.508,7.561,True
SASDUN8,6.197,0.179,0.519,8.679,False
SASDVF8,6.409,0.066,0.284,3.123,False
SASDUM8,6.474,0.25,0.468,1.382,True
SASDVH8,6.479,0.108,0.321,3.54,True
SASDVG8,6.484,0.09,0.315,2.802,False
SASDUP8,6.568,0.266,0.481,9.929,True
SASDPT5,6.909,0.139,0.486,22.539,True
SASDXK4,6.948,0.051,0.669,1.68,False
SASDXC7,7.037,0.245,0.267,5.34,False
SASDVQ6,7.116,0.266,0.221,13.684,False
SASDXH4,7.426,0.238,0.67,4.541,True
SASDTT8,7.48,0.188,0.701,4.509,False
SASDMV7,8.034,0.042,0.407,12.289,True
SASDVF9,9.584,0.057,0.576,6.238,True
SASDWM2,10.163,0.515,0.326,15.722,False
SASDUY5,14.995,0.03,0.13,1.372,True
